ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049594,TMP00036320,-8275278
TMP00049595,TMP00036321,-8275277
TMP00049596,TMP00036322,-8251022
TMP00049597,TMP00036323,-8251021
TMP00049598,TMP00036324,-8251020
TMP00049599,TMP00036325,-8251011
TMP00049600,TMP00036326,-8534637
TMP00049601,TMP00036327,-8534629
TMP00049602,TMP00036328,-8534622
TMP00049603,TMP00036329,-8534621
TMP00049606,TMP00036332,-7785621
TMP00049607,TMP00036333,-7785620
TMP00049608,TMP00036334,-8448363
TMP00049609,TMP00036335,-8448336
TMP00049610,TMP00036336,-8251004
TMP00049611,TMP00036337,-8251003
TMP00049612,TMP00036338,-8250999
TMP00049613,TMP00036339,-8445684
TMP00049615,TMP00036341,-8250883
TMP00049616,TMP00036342,-8450376
TMP00049618,TMP00036344,-8450464
TMP00049619,TMP00036346,-8450331
TMP00049621,TMP00036348,-8250880
TMP00049624,TMP00036351,-8445336
TMP00049626,TMP00036353,-8445325
TMP00049627,TMP00036355,-8478477
TMP00049628,TMP00036356,-8478482
TMP00049629,TMP00036357,-8478486
TMP00049630,TMP00036358,-8478485
TMP00049631,TMP00036359,-8478484
TMP00049632,TMP00036360,-8478481
TMP00049633,TMP00036361,-8478480
TMP00049634,TMP00036362,-8478479
TMP00049635,TMP00036363,-8478478
TMP00049636,TMP00036364,-7795048
TMP00049637,TMP00036365,-7795047
TMP00049639,TMP00036367,-8250829
TMP00049640,TMP00036368,-8250821
TMP00049641,TMP00036369,-8250820
TMP00049642,TMP00036370,-8250819
TMP00049643,TMP00036371,-8250818
TMP00049644,TMP00036372,-8250817
TMP00049645,TMP00036373,-8250816
TMP00049646,TMP00036374,-8250815
TMP00049649,TMP00036377,-7785822
TMP00049650,TMP00036378,-8250788
TMP00049651,TMP00036379,-8250652
TMP00049652,TMP00036380,-8250645
TMP00049653,TMP00036381,-8250644
TMP00049654,TMP00036382,-8250643
TMP00049655,TMP00036383,-7775731
TMP00049656,TMP00036384,-8250584
TMP00049657,TMP00036385,-8250576
TMP00049658,TMP00036386,-8250563
TMP00049660,TMP00036388,-8250506
TMP00049661,TMP00036389,-8250505
TMP00049662,TMP00036390,-8250504
TMP00049663,TMP00036391,-8250503
TMP00049664,TMP00036392,-8250502
TMP00049666,TMP00036394,-8250408
TMP00049667,TMP00036395,-8250407
TMP00049668,TMP00036396,-8250406
TMP00049669,TMP00036397,-8250405
TMP00049670,TMP00036398,-8250404
TMP00049671,TMP00036399,-8250403
TMP00049672,TMP00036400,-8250402
TMP00049673,TMP00036401,-8250401
TMP00049674,TMP00036402,-8250394
TMP00049675,TMP00036403,-8250393
TMP00049676,TMP00036404,-8250392
TMP00049677,TMP00036405,-8250391
