component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
2539,1,1,1,TMP00000140,False,False
2540,4,3,1,TMP00000102,True,True
2568,1,1,1,TMP00000043,True,True
2586,1,1,1,TMP00000140,False,False
2587,1,1,1,TMP00000188,False,True
2598,1,1,1,TMP00000013,True,True
2600,2,1,1,TMP00000181,True,True
2620,1,1,1,TMP00000092,True,True
2631,1,1,1,TMP00000071,True,True
2644,1,1,1,TMP00000140,False,False
2646,1,1,1,TMP00000050,True,True
2652,1,1,1,TMP00000002,True,True
2661,1,1,1,TMP00000070,True,True
2666,1,1,1,TMP00000079,False,True
2675,1,1,1,TMP00000116,True,True
2677,1,1,1,TMP00000162,True,True
2691,1,1,1,TMP00000044,True,True
2696,6,6,1,TMP00000049,False,False
2699,1,1,1,TMP00000167,False,True
2704,1,1,1,TMP00000140,False,False
2715,1,1,1,TMP00000012,False,False
2742,1,1,1,TMP00000013,True,True
2745,1,1,1,TMP00000013,True,True
2749,1,1,1,TMP00000014,True,True
2760,1,1,1,TMP00000036,True,True
2785,1,1,1,TMP00000089,True,True
2819,1,1,1,TMP00000012,False,False
2821,1,1,1,TMP00000089,True,True
2828,4,3,1,TMP00000069,False,False
2842,1,1,1,TMP00000140,False,False
2862,1,1,1,TMP00000140,False,False
2891,1,1,1,TMP00000140,False,False
2894,1,1,1,TMP00000017,True,True
2902,1,1,1,TMP00000129,True,True
2904,1,1,1,TMP00000160,True,True
2905,5,5,1,TMP00000150,False,False
2910,1,1,1,TMP00000098,False,False
2917,1,1,1,TMP00000070,True,True
2921,1,1,1,TMP00000093,True,True
2928,1,1,1,TMP00000013,True,True
2943,1,1,1,TMP00000140,False,False
2945,1,1,1,TMP00000015,True,True
2946,1,1,1,TMP00000053,False,False
2955,1,1,1,TMP00000140,False,False
2960,1,1,1,TMP00000055,True,True
2967,2,1,1,TMP00000099,True,True
2978,1,1,1,TMP00000169,False,False
2980,1,1,1,TMP00000027,True,True
3004,3,2,1,TMP00000040,True,True
3005,2,1,1,TMP00000023,False,False
3006,1,1,1,TMP00000149,True,True
3015,1,1,1,TMP00000001,True,True
3028,16,16,1,TMP00000023,False,False
3034,1,1,1,TMP00000013,True,True
3044,1,1,1,TMP00000115,True,True
3048,1,1,1,TMP00000188,False,True
3049,1,1,1,TMP00000116,True,True
3050,1,1,1,TMP00000027,True,True
3052,1,1,1,TMP00000148,False,False
3053,1,1,1,TMP00000027,True,True
3059,1,1,1,TMP00000188,False,True
3064,1,1,1,TMP00000044,True,True
3066,1,1,1,TMP00000140,False,False
3109,7,7,1,TMP00000040,True,True
3121,1,1,1,TMP00000089,True,True
3123,1,1,1,TMP00000121,True,True
3131,1,1,1,TMP00000063,True,True
3133,1,1,1,TMP00000076,True,True
3138,1,1,1,TMP00000140,False,False
3141,1,1,1,TMP00000012,False,False
3144,1,1,1,TMP00000047,True,True
3145,1,1,1,TMP00000088,True,True
3146,1,1,1,TMP00000140,False,False
3147,2,1,1,TMP00000052,True,True
3150,1,1,1,TMP00000140,False,False
3161,1,1,1,TMP00000140,False,False
3164,1,1,1,TMP00000125,True,True
3172,1,1,1,TMP00000035,False,False
3178,1,1,1,TMP00000140,False,False
3184,1,1,1,TMP00000140,False,False
3195,7,7,1,TMP00000085,True,True
3204,1,1,1,TMP00000101,True,True
3214,1,1,1,TMP00000133,True,True
3217,1,1,1,TMP00000084,True,True
3230,1,1,1,TMP00000044,True,True
3240,1,1,1,TMP00000027,True,True
3245,1,1,1,TMP00000080,False,True
3249,1,1,1,TMP00000140,False,False
3258,1,1,1,TMP00000082,True,True
3260,1,1,1,TMP00000017,True,True
3261,1,1,1,TMP00000125,True,True
3287,1,1,1,TMP00000055,True,True
3290,6,6,1,TMP00000054,True,True
3304,1,1,1,TMP00000188,False,True
3307,1,1,1,TMP00000188,False,True
3324,1,1,1,TMP00000012,False,False
3327,1,1,1,TMP00000133,True,True
3348,1,1,1,TMP00000167,False,True
3351,1,1,1,TMP00000169,False,False
3361,2,1,1,TMP00000101,True,True
3378,1,1,1,TMP00000013,True,True
3397,1,1,1,TMP00000096,False,False
3398,1,1,1,TMP00000140,False,False
3407,1,1,1,TMP00000027,True,True
3409,1,1,1,TMP00000027,True,True
3412,1,1,1,TMP00000009,True,True
3422,1,1,1,TMP00000013,True,True
3423,1,1,1,TMP00000001,True,True
3428,1,1,1,TMP00000013,True,True
3449,1,1,1,TMP00000043,True,True
3450,1,1,1,TMP00000164,True,True
3454,1,1,1,TMP00000036,True,True
3467,1,1,1,TMP00000043,True,True
3468,1,1,1,TMP00000027,True,True
3472,7,7,1,TMP00000188,False,True
3474,1,1,1,TMP00000140,False,False
3487,8,8,1,TMP00000125,True,True
3500,1,1,1,TMP00000013,True,True
3502,2,2,1,TMP00000018,True,True
3512,1,1,1,TMP00000092,True,True
3538,1,1,1,TMP00000140,False,False
3561,1,1,1,TMP00000026,True,True
3567,1,1,1,TMP00000188,False,True
3579,1,1,1,TMP00000089,True,True
3584,1,1,1,TMP00000079,False,True
3588,1,1,1,TMP00000043,True,True
3589,1,1,1,TMP00000013,True,True
3597,1,1,1,TMP00000090,True,True
3601,1,1,1,TMP00000031,False,False
3607,1,1,1,TMP00000089,True,True
3612,1,1,1,TMP00000038,True,True
3615,1,1,1,TMP00000104,True,True
3659,5,5,1,TMP00000035,False,False
3682,1,1,1,TMP00000068,True,True
3696,1,1,1,TMP00000167,False,True
3701,1,1,1,TMP00000043,True,True
